2019 Authorized Budget,,,,,Mar-17,,,,Apr-17,,,,May-17,,,,Jun-17,,,,Jul-17,,,,Aug-17,,,,Sep-17,,,,Oct-17,,,,Nov-17,,,,Dec-17,,,,Jan-18,,,,Feb-18,,,,Mar-18,,,,Apr-18,,,,May-18,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary 
4533,TRANS OPERATOR, 1.00 ,METRO TRAN," 57,167 ",7402,TRANS OPERATOR, 1.00 ,46291.86,7402,TRANS OPERATOR,1.00,46291.86,7402,TRANS OPERATOR,1.00,46291.86,7402,TRANS OPERATOR,1,46291.86,7402,TRANS OPERATOR,1,46291.86,7402,TRANS OPERATOR,1,46291.86,7402,TRANS OPERATOR,1,49013.95,7402,TRANS OPERATOR,1,49013.95,7402,TRANS OPERATOR,1,49013.95,7402,TRANS OPERATOR,1,49994.26,7402,TRANS OPERATOR, 1.00 ,49994.26,7402,TRANS OPERATOR, 1.00 ,49994.26,7402,TRANS OPERATOR, 1.00 ,49994.26,7402,TRANS OPERATOR, 1.00 ,49994.26,7402,TRANS OPERATOR, 1.00 ,49994.26,7402,TRANS OPERATOR, 1.00 ,49994.26,7402,TRANS OPERATOR, 1.00 ,49994.26,7402,TRANS OPERATOR, 1.00 ,55549.94,7402,TRANS OPERATOR,1,55549.94,7402,TRANS OPERATOR,1,55549.94,7402,TRANS OPERATOR,1,55549.94,7402,TRANS OPERATOR, 1.00 ,56660.86,7402,TRANS OPERATOR-41, 1.00 ,56660.86,7402,TRANS OPERATOR-41, 1.00 ,58360.64
4534,TRANS OPERATOR, 1.00 ,METRO TRAN," 41,823 ",7400,TRANS OPERATOR, 1.00 ,46291.86,7400,TRANS OPERATOR,1.00,46291.86,7400,TRANS OPERATOR,1.00,46291.86,7400,TRANS OPERATOR,1,46291.86,7400,TRANS OPERATOR,1,46291.86,7400,TRANS OPERATOR,1,46291.86,7400,TRANS OPERATOR,1,49013.95,7400,TRANS OPERATOR,1,49013.95,7400,TRANS OPERATOR,1,49013.95,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,2148,TRANS OPERATOR, 1.00 ,63460.18,2148,TRANS OPERATOR-41, 1.00 ,63460.18,2148,TRANS OPERATOR-41, 1.00 ,63460.18
4535,TRANS OPERATOR, 1.00 ,METRO TRAN," 59,109 ",7750,TRANS OPERATOR, 1.00 ,56094.48,7750,TRANS OPERATOR,1.00,54460.64,7750,TRANS OPERATOR,1.00,54460.64,7750,TRANS OPERATOR,1,54460.64,7750,TRANS OPERATOR,1,56094.48,7750,TRANS OPERATOR,1,56094.48,7750,TRANS OPERATOR,1,56094.48,7750,TRANS OPERATOR,1,56094.48,7750,TRANS OPERATOR,1,56094.48,7750,TRANS OPERATOR,1,57216.43,7750,TRANS OPERATOR, 1.00 ,57216.43,7750,TRANS OPERATOR, 1.00 ,58882.93,7750,TRANS OPERATOR, 1.00 ,58882.93,7750,TRANS OPERATOR, 1.00 ,58882.93,7750,TRANS OPERATOR, 1.00 ,58882.93,7750,TRANS OPERATOR, 1.00 ,58882.93,7750,TRANS OPERATOR, 1.00 ,58882.93,7750,TRANS OPERATOR, 1.00 ,58882.93,7750,TRANS OPERATOR,1,58882.93,7750,TRANS OPERATOR,1,58882.93,7750,TRANS OPERATOR,1,58882.93,7750,TRANS OPERATOR, 1.00 ,60060.42,7750,TRANS OPERATOR-41, 1.00 ,60060.42,7750,TRANS OPERATOR-41, 1.00 ,60060.42
4537,ADMIN ANAL 4, 1.00 ,FINANCE," 93,074 ",7823,ADMIN ANAL 4, 1.00 ,82128.80,7823,ADMIN ANAL 4,1.00,82128.80,7823,ADMIN ANAL 4,1.00,82128.80,7823,ADMIN ANAL 4,1,82128.80,7823,ADMIN ANAL 4,1,83771.48,7823,ADMIN ANAL 4,1,83771.48,7823,ADMIN ANAL 4,1,83771.48,7823,ADMIN ANAL 4,1,83771.48,7823,ADMIN ANAL 4,1,83771.48,7823,ADMIN ANAL 4,1,84609.20,7823,ADMIN ANAL 4, 1.00 ,84609.20,7823,ADMIN ANAL 4, 1.00 ,88677.94,7823,ADMIN ANAL 4, 1.00 ,88677.94,7823,ADMIN ANAL 4, 1.00 ,88677.94,7823,ADMIN ANAL 4, 1.00 ,88677.94,7823,ADMIN ANAL 4, 1.00 ,88677.94,7823,ADMIN ANAL 4, 1.00 ,88677.94,7823,ADMIN ANAL 4, 1.00 ,88677.94,7823,ADMIN ANAL 4,1,88677.94,7823,ADMIN ANAL 4,1,88677.94,7823,ADMIN ANAL 4,1,88677.94,7823,ADMIN ANAL 4, 1.00 ,91560.04,7823,ADMIN ANAL 4-18, 1.00 ,91560.04,7823,ADMIN ANAL 4-18, 1.00 ,91560.04
4538,CCTV INSPEC TECH, 1.00 ,ENGINEERIN," 66,515 ",2056,CCTV INSPEC TECH, 1.00 ,61726.86,2056,CCTV INSPEC TECH,1.00,61726.86,2056,CCTV INSPEC TECH,1.00,61726.86,2056,CCTV INSPEC TECH,1,61726.86,2056,CCTV INSPEC TECH,1,62961.34,2056,CCTV INSPEC TECH,1,62961.34,2056,CCTV INSPEC TECH,1,62961.34,2056,CCTV INSPEC TECH,1,62961.34,2056,CCTV INSPEC TECH,1,62961.34,2056,CCTV INSPEC TECH,1,63591.06,2056,CCTV INSPEC TECH, 1.00 ,63591.06,2056,CCTV INSPEC TECH, 1.00 ,63591.06,2056,CCTV INSPEC TECH, 1.00 ,63591.06,2056,CCTV INSPEC TECH, 1.00 ,63591.06,2056,CCTV INSPEC TECH, 1.00 ,63591.06,2056,CCTV INSPEC TECH, 1.00 ,63591.06,2056,CCTV INSPEC TECH, 1.00 ,63591.06,2056,CCTV INSPEC TECH, 1.00 ,63591.06,2056,CCTV INSPEC TECH,1,64174.50,2056,CCTV INSPEC TECH,1,64174.50,2056,CCTV INSPEC TECH,1,64174.50,2056,CCTV INSPEC TECH, 1.00 ,66260.22,2056,CCTV INSPEC TECH, 1.00 ,66260.22,2056,CCTV INSPEC TECH, 1.00 ,66260.22
4539,CCTV INSPEC TECH, 1.00 ,ENGINEERIN," 65,910 ",2037,CCTV INSPEC TECH, 1.00 ,61160.58,2037,CCTV INSPEC TECH,1.00,61160.58,2037,CCTV INSPEC TECH,1.00,61160.58,2037,CCTV INSPEC TECH,1,61160.58,2037,CCTV INSPEC TECH,1,62383.62,2037,CCTV INSPEC TECH,1,62383.62,2037,CCTV INSPEC TECH,1,62383.62,2037,CCTV INSPEC TECH,1,62383.62,2037,CCTV INSPEC TECH,1,62383.62,2037,CCTV INSPEC TECH,1,63007.62,2037,CCTV INSPEC TECH, 1.00 ,63007.62,2037,CCTV INSPEC TECH, 1.00 ,63007.62,2037,CCTV INSPEC TECH, 1.00 ,63007.62,2037,CCTV INSPEC TECH, 1.00 ,63007.62,2037,CCTV INSPEC TECH, 1.00 ,63591.06,2037,CCTV INSPEC TECH, 1.00 ,63591.06,2037,CCTV INSPEC TECH, 1.00 ,63591.06,2037,CCTV INSPEC TECH, 1.00 ,63591.06,2037,CCTV INSPEC TECH,1,63591.06,2037,CCTV INSPEC TECH,1,63591.06,2037,CCTV INSPEC TECH,1,63591.06,2037,CCTV INSPEC TECH, 1.00 ,65657.80,2037,CCTV INSPEC TECH, 1.00 ,65657.80,2037,CCTV INSPEC TECH, 1.00 ,65657.80
4540,CCTV INSPEC TECH, 1.00 ,ENGINEERIN," 64,626 ",3587,S/D MAINT TECH 1, 1.00 ,59978.88,3587,S/D MAINT TECH 1,1.00,59978.88,3587,S/D MAINT TECH 1,1.00,59978.88,3587,S/D MAINT TECH 1,1,59978.88,3587,S/D MAINT TECH 1,1,61178.26,3587,S/D MAINT TECH 1,1,61178.26,3587,S/D MAINT TECH 1,1,61178.26,3587,S/D MAINT TECH 1,1,61178.26,3587,S/D MAINT TECH 1,1,61178.26,3587,S/D MAINT TECH 1,1,61790.04,3587,S/D MAINT TECH 1, 1.00 ,61790.04,3587,S/D MAINT TECH 1, 1.00 ,61790.04,3587,S/D MAINT TECH 1, 1.00 ,61790.04,3587,S/D MAINT TECH 1, 1.00 ,61790.04,3587,S/D MAINT TECH 1, 1.00 ,61790.04,3587,S/D MAINT TECH 1, 1.00 ,61790.04,3587,S/D MAINT TECH 1, 1.00 ,62351.64,3587,S/D MAINT TECH 1, 1.00 ,62351.64,3587,S/D MAINT TECH 1,1,62351.64,3587,S/D MAINT TECH 1,1,62351.64,3587,S/D MAINT TECH 1,1,62351.64,3587,S/D MAINT TECH 1, 1.00 ,64378.34,3587,S/D MAINT TECH 1, 1.00 ,64378.34,3587,S/D MAINT TECH 1, 1.00 ,64378.34
4541 (ABOLISHED),INACTIVATED, -   ,PLANNING, -   ,7541,PLANNER 2, 1.00 ,68154.32,7541,PLANNER 2,1.00,68154.32,7541,PLANNER 2,1.00,68154.32,7541,PLANNER 2,1,68154.32,7541,PLANNER 2,1,69517.50,7541,PLANNER 2,1,69517.50,7541,PLANNER 2,1,69517.50,7541,PLANNER 2,1,72726.42,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,-,-, - ,-,-,-,-,-
4542,LIBRARIAN 2, 1.00 ,LIBRARY," 45,919 ",7487,LIBRARY ASST 1, 0.90 ,41703.02,7487,LIBRARY ASST 1,0.90,41703.02,7487,LIBRARY ASST 1,0.90,41703.02,7487,LIBRARY ASST 1,0.9,41703.02,7487,LIBRARY ASST 1,0.9,42537.10,7487,LIBRARY ASST 1,0.9,42537.10,7487,LIBRARY ASST 1,0.9,42537.10,7381,LIBRARY ASST 1,0.9,41475.98,7381,LIBRARY ASST 1,0.9,41475.98,7381,LIBRARY ASST 1,0.9,41890.67,7381,LIBRARY ASST 1, 0.90 ,41890.67,7381,LIBRARY ASST 1, 0.90 ,41890.67,7381,LIBRARY ASST 1, 0.90 ,42962.49,7381,LIBRARY ASST 1, 0.90 ,42962.49,7381,LIBRARY ASST 1, 0.90 ,42962.49,7381,LIBRARY ASST 1, 0.90 ,42962.49,7381,LIBRARY ASST 1-32 PT, 0.90 ,42962.49,7381,LIBRARIAN 1-33, 1.00 ,53641.64,7381,LIBRARIAN 1-33,1,53641.64,7381,LIBRARIAN 1-33,1,53641.64,7381,LIBRARIAN 1-33,1,53641.64,7381,LIBRARIAN 1-33, 1.00 ,55384.94,7381,LIBRARIAN 1-33, 1.00 ,55384.94,7381,LIBRARIAN 1-33, 1.00 ,55384.94
4544,PROGRAM ASST 1, 1.00 ,POLICE," 58,159 ",1852,PROGRAM ASST 1, 1.00 ,54037.62,1852,PROGRAM ASST 1,1.00,54037.62,1852,PROGRAM ASST 1,1.00,54037.62,1852,PROGRAM ASST 1,1,54037.62,1852,PROGRAM ASST 1,1,55118.44,1852,PROGRAM ASST 1,1,55118.44,1852,PROGRAM ASST 1,1,55118.44,1852,PROGRAM ASST 1,1,55118.44,1852,PROGRAM ASST 1,1,55118.44,1852,PROGRAM ASST 1,1,55669.64,1852,PROGRAM ASST 1, 1.00 ,55669.64,1852,PROGRAM ASST 1, 1.00 ,55669.64,1852,PROGRAM ASST 1, 1.00 ,55669.64,1852,PROGRAM ASST 1, 1.00 ,55669.64,1852,PROGRAM ASST 1, 1.00 ,55669.64,1852,PROGRAM ASST 1, 1.00 ,55669.64,1852,PROGRAM ASST 1, 1.00 ,55669.64,1852,PROGRAM ASST 1, 1.00 ,55669.64,1852,PROGRAM ASST 1,1,55669.64,1852,PROGRAM ASST 1,1,55669.64,1852,PROGRAM ASST 1,1,55669.64,1852,PROGRAM ASST 1, 1.00 ,57478.98,1852,PROGRAM ASST 1-20, 1.00 ,57478.98,1852,PROGRAM ASST 1-20, 1.00 ,57478.98
4545,PKG ASSET GIS COOR, 1.00 ,PARKING," 72,083 ",2680,ENGR PROG SPEC 1, 1.00 ,62721.10,2680,ENGR PROG SPEC 1,1.00,62721.10,2680,ENGR PROG SPEC 1,1.00,62721.10,2680,ENGR PROG SPEC 1,1,62721.10,2680,ENGR PROG SPEC 1,1,63975.60,2680,ENGR PROG SPEC 1,1,63975.60,2680,ENGR PROG SPEC 1,1,63975.60,2680,ENGR PROG SPEC 1,1,66323.66,2680,ENGR PROG SPEC 1,1,66323.66,2680,ENGR PROG SPEC 1,1,66986.92,2680,ENGR PROG SPEC 1, 1.00 ,66986.92,2680,ENGR PROG SPEC 1, 1.00 ,66986.92,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,11668,PKG ASSET GIS COOR, 1.00 ,67192.06,11668,PKG ASSET GIS COOR,1,67192.06,11668,PKG ASSET GIS COOR,1,67192.06,11668,PKG ASSET GIS COOR,1,67192.06,11668,PKG ASSET GIS COOR, 1.00 ,69375.80,11668,PKG ASSET GIS COOR-18, 1.00 ,69375.80,11668,PKG ASSET GIS COOR-18, 1.00 ,72494.76
4549,ASST PKS SUPERINTEND, 1.00 ,PARKS," 114,087 ",1493,ASST PKS SUPERINTEND, 1.00 ,106845.70,1493,ASST PKS SUPERINTEND,1.00,106845.70,1493,ASST PKS SUPERINTEND,1.00,106845.70,1493,ASST PKS SUPERINTEND,1,106845.70,1493,ASST PKS SUPERINTEND,1,108982.90,1493,ASST PKS SUPERINTEND,1,108982.90,1493,ASST PKS SUPERINTEND,1,108982.90,1493,ASST PKS SUPERINTEND,1,108982.90,1493,ASST PKS SUPERINTEND,1,108982.90,1493,ASST PKS SUPERINTEND,1,110072.82,1493,ASST PKS SUPERINTEND, 1.00 ,110072.82,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,3287,ASST PKS SUPERINTEND, 1.00 ,109004.22,3287,ASST PKS SUPERINTEND,1,109004.22,3287,ASST PKS SUPERINTEND,1,109004.22,3287,ASST PKS SUPERINTEND,1,109004.22,3287,ASST PKS SUPERINTEND, 1.00 ,112546.72,3287,ASST PKS SUPERINTENDENT-18, 1.00 ,112546.72,3287,ASST PKS SUPERINTENDENT-18, 1.00 ,112546.72
4550,CLERK-TYP 2, 1.00 ,FIRE," 39,306 ",6278,CLERK-TYP 1-20, 1.00 ,38573.86,6278,CLERK-TYP 1-20,1.00,38573.86,6278,CLERK-TYP 1-20,1.00,38573.86,6278,CLERK-TYP 1-20,1.00,40124.76,6278,CLERK-TYP 1-20,1,40927.38,6278,CLERK-TYP 1-20,1,40927.38,6278,CLERK-TYP 1-20,1,40927.38,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,10902,CLERK-TYP 1-20, 1.00 ,36160.80,10902,CLERK-TYP 1-20, 1.00 ,36160.80,10902,CLERK-TYP 1-20, 1.00 ,36160.80,10902,CLERK-TYP 1-20, 1.00 ,36160.80,10902,CLERK-TYP 1-20, 1.00 ,36160.80,10902,CLERK-TYP 1-20, 1.00 ,36160.80,10902,CLERK-TYP 1-20, 1.00 ,36160.80,10902,CLERK-TYP 1-20, 1.00 ,37368.76,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,10632,CLERK-TYP 1-20, 1.00 ,37336.00,10632,CLERK-TYP 1-20, 1.00 ,37336.00,10632,CLERK-TYP 1-20, 1.00 ,37336.00
4552,EQUITY COORD, 1.00 ,CIVL RIGTS," 79,917 ",7962,EQUITY COORD, 1.00 ,71300.32,7962,EQUITY COORD,1.00,74844.90,7962,EQUITY COORD,1.00,74844.90,7962,EQUITY COORD,1,74844.90,7962,EQUITY COORD,1,76341.72,7962,EQUITY COORD,1,76341.72,7962,EQUITY COORD,1,76341.72,7962,EQUITY COORD,1,76341.72,7962,EQUITY COORD,1,76341.72,7962,EQUITY COORD,1,77105.08,7962,EQUITY COORD, 1.00 ,77105.08,7962,EQUITY COORD, 1.00 ,77105.08,7962,EQUITY COORD, 1.00 ,77105.08,7962,EQUITY COORD, 1.00 ,77105.08,7962,EQUITY COORD, 1.00 ,80752.62,7962,EQUITY COORD, 1.00 ,80752.62,7962,EQUITY COORD, 1.00 ,80752.62,7962,EQUITY COORD, 1.00 ,80752.62,7962,EQUITY COORD,1,80752.62,7962,EQUITY COORD,1,80752.62,7962,EQUITY COORD,1,80752.62,7962,EQUITY COORD, 1.00 ,83377.06,7962,EQUITY COORD-18, 1.00 ,83377.06,7962,EQUITY COORD-18, 1.00 ,83377.06
4554,ACCOUNTANT 2, 1.00 ,POLICE," 74,594 ",7877,ACCOUNTANT 2, 1.00 ,62506.86,7877,ACCOUNTANT 2,1.00,62506.86,7877,ACCOUNTANT 2,1.00,62506.86,7877,ACCOUNTANT 2,1,62506.86,7877,ACCOUNTANT 2,1,63756.94,7877,ACCOUNTANT 2,1,63756.94,7877,ACCOUNTANT 2,1,66526.72,7877,ACCOUNTANT 2,1,66526.72,7877,ACCOUNTANT 2,1,66526.72,7877,ACCOUNTANT 2,1,67192.06,7877,ACCOUNTANT 2, 1.00 ,67192.06,7877,ACCOUNTANT 2, 1.00 ,67192.06,7877,ACCOUNTANT 2, 1.00 ,67192.06,7877,ACCOUNTANT 2, 1.00 ,67192.06,7877,ACCOUNTANT 2, 1.00 ,67192.06,7877,ACCOUNTANT 2, 1.00 ,67192.06,7877,ACCOUNTANT 2, 1.00 ,67192.06,7877,ACCOUNTANT 2, 1.00 ,70212.74,7877,ACCOUNTANT 2,1,70212.74,7877,ACCOUNTANT 2,1,70212.74,7877,ACCOUNTANT 2,1,70212.74,7877,ACCOUNTANT 2, 1.00 ,72494.76,7877,ACCOUNTANT 2-18, 1.00 ,72494.76,7877,ACCOUNTANT 2-18, 1.00 ,72494.76
4556,CLERK TYP 2, 1.00 ,TREASURER," 46,804 ",6715,CLERK TYP 1, 1.00 ,38573.86,6715,CLERK TYP 1,1.00,38573.86,6715,CLERK TYP 1,1.00,38573.86,6715,CLERK TYP 1,1,38573.86,6715,CLERK TYP 1,1,39345.28,6715,CLERK TYP 1,1,39345.28,6715,CLERK TYP 1,1,40927.38,6715,CLERK TYP 1,1,40927.38,6715,CLERK TYP 1,1,40927.38,6715,CLERK TYP 1,1,41336.62,6715,CLERK TYP 1, 1.00 ,41336.62,6715,CLERK TYP 1, 1.00 ,41336.62,6715,CLERK TYP 2, 1.00 ,42942.64,6715,CLERK TYP 2, 1.00 ,42942.64,6715,CLERK TYP 2, 1.00 ,42942.64,6715,CLERK TYP 2, 1.00 ,42942.64,6715,CLERK TYP 2, 1.00 ,42942.64,6715,CLERK TYP 2, 1.00 ,42942.64,6715,CLERK TYP 2,1,42942.64,6715,CLERK TYP 2,1,42942.64,6715,CLERK TYP 2,1,42942.64,6715,CLERK TYP 2, 1.00 ,44338.32,6715,CLERK-TYP 2-20, 1.00 ,44338.32,6715,CLERK-TYP 2-20, 1.00 ,45668.48
4561,POLICE OFFICER, 1.00 ,POLICE," 67,546 ",6385,POLICE OFFICER, 1.00 ,55840.72,6385,POLICE OFFICER,1.00,57495.62,6385,POLICE OFFICER,1.00,57495.62,6385,POLICE OFFICER,1,57495.62,6385,POLICE OFFICER,1,58645.60,6385,POLICE OFFICER,1,58645.60,6385,POLICE OFFICER,1,58645.60,6385,POLICE OFFICER,1,58645.60,6385,POLICE OFFICER,1,58645.60,6385,POLICE OFFICER,1,59232.16,6385,POLICE OFFICER, 1.00 ,59232.16,6385,POLICE OFFICER, 1.00 ,59232.16,6385,POLICE OFFICER, 1.00 ,59232.16,6385,POLICE OFFICER, 1.00 ,59232.16,6385,POLICE OFFICER, 1.00 ,72101.38,6385,POLICE OFFICER, 1.00 ,72101.38,6385,POLICE OFFICER, 1.00 ,72101.38,6385,POLICE OFFICER, 1.00 ,72101.38,6385,POLICE OFFICER,1,72101.38,6385,POLICE OFFICER,1,73934.38,6385,POLICE OFFICER,1,73934.38,6385,POLICE OFFICER, 1.00 ,73934.38,6385,POLICE OFFICER-11, 1.00 ,73934.38,6385,POLICE OFFICER-11, 1.00 ,75413.00
4562,POLICE OFFICER, 1.00 ,POLICE," 73,020 ",7834,POLICE OFFICER, 1.00 ,55840.72,7834,POLICE OFFICER,1.00,55840.72,7834,POLICE OFFICER,1.00,55840.72,7834,POLICE OFFICER,1,55840.72,7834,POLICE OFFICER,1,56957.42,7834,POLICE OFFICER,1,56957.42,7834,POLICE OFFICER,1,56957.42,7834,POLICE OFFICER,1,56957.42,7834,POLICE OFFICER,1,56957.42,7834,POLICE OFFICER,1,57527.08,7834,POLICE OFFICER, 1.00 ,57527.08,7834,POLICE OFFICER, 1.00 ,59232.16,7834,POLICE OFFICER, 1.00 ,59232.16,7834,POLICE OFFICER, 1.00 ,59232.16,7834,POLICE OFFICER, 1.00 ,59232.16,7834,POLICE OFFICER, 1.00 ,59232.16,7834,POLICE OFFICER, 1.00 ,59232.16,7834,POLICE OFFICER, 1.00 ,59232.16,7834,POLICE OFFICER,1,59232.16,7834,POLICE OFFICER,1,59232.16,7834,POLICE OFFICER,1,59232.16,7834,POLICE OFFICER, 1.00 ,59232.16,7834,POLICE OFFICER-11, 1.00 ,59232.16,7834,POLICE OFFICER-11, 1.00 ,76036.22
4563,PUB WKS FORE, 1.00 ,PARKS," 70,193 ",3240,PUB WKS FORE, 1.00 ,65632.32,3240,PUB WKS FORE,1.00,65632.32,3240,PUB WKS FORE,1.00,65632.32,3240,PUB WKS FORE,1,65632.32,3240,PUB WKS FORE,1,66944.80,3240,PUB WKS FORE,1,66944.80,3240,PUB WKS FORE,1,66944.80,3240,PUB WKS FORE,1,66944.80,3240,PUB WKS FORE,1,66944.80,3240,PUB WKS FORE,1,67614.30,3240,PUB WKS FORE, 1.00 ,67614.30,3240,PUB WKS FORE, 1.00 ,67614.30,3240,PUB WKS FORE, 1.00 ,67614.30,3240,PUB WKS FORE, 1.00 ,67614.30,3240,PUB WKS FORE, 1.00 ,67614.30,3240,PUB WKS FORE, 1.00 ,67614.30,3240,PUB WKS FORE, 1.00 ,67614.30,3240,PUB WKS FORE, 1.00 ,67614.30,3240,PUB WKS FORE,1,67614.30,3240,PUB WKS FORE,1,67614.30,3240,PUB WKS FORE,1,67614.30,3240,PUB WKS FORE, 1.00 ,69811.56,3240,PUB WKS FORE-18, 1.00 ,69811.56,3240,PUB WKS FORE-18, 1.00 ,69811.56
4567,PKS MAINT WKR, 1.00 ,PARKS," 53,183 ",5535,PKS MAINT WKR, 1.00 ,48448.92,5535,PKS MAINT WKR,1.00,48448.92,5535,PKS MAINT WKR,1.00,48448.92,5535,PKS MAINT WKR,1,48448.92,5535,PKS MAINT WKR,1,49417.94,5535,PKS MAINT WKR,1,49417.94,5535,PKS MAINT WKR,1,49417.94,5535,PKS MAINT WKR,1,50803.48,5535,PKS MAINT WKR,1,50803.48,5535,PKS MAINT WKR,1,51311.52,5535,PKS MAINT WKR, 1.00 ,51311.52,5535,PKS MAINT WKR, 1.00 ,51311.52,5535,PKS MAINT WKR, 1.00 ,51311.52,5535,PKS MAINT WKR, 1.00 ,51311.52,5535,PKS MAINT WKR, 1.00 ,51311.52,5535,PKS MAINT WKR, 1.00 ,51311.52,5535,PKS MAINT WKR, 1.00 ,51311.52,5535,PKS MAINT WKR, 1.00 ,51311.52,5535,PKS MAINT WKR,1,51311.52,5535,PKS MAINT WKR,1,51311.52,5535,PKS MAINT WKR,1,51311.52,5535,PKS MAINT WKR, 1.00 ,52979.16,5535,PKS MAINT WKR-16, 1.00 ,54426.84,5535,PKS MAINT WKR-16, 1.00 ,54426.84
4568,PKS MAINT WKR, 1.00 ,PARKS," 60,646 ",2348,PKS MAINT WKR, 1.00 ,56797.00,2348,PKS MAINT WKR,1.00,56797.00,2348,PKS MAINT WKR,1.00,56797.00,2348,PKS MAINT WKR,1,56797.00,2348,PKS MAINT WKR,1,57932.94,2348,PKS MAINT WKR,1,57932.94,2348,PKS MAINT WKR,1,57932.94,2348,PKS MAINT WKR,1,57932.94,2348,PKS MAINT WKR,1,57932.94,2348,PKS MAINT WKR,1,58512.22,2348,PKS MAINT WKR, 1.00 ,58512.22,2348,PKS MAINT WKR, 1.00 ,58512.22,2348,PKS MAINT WKR, 1.00 ,58512.22,2348,PKS MAINT WKR, 1.00 ,58512.22,2348,PKS MAINT WKR, 1.00 ,58512.22,2348,PKS MAINT WKR, 1.00 ,58512.22,2348,PKS MAINT WKR, 1.00 ,58512.22,2348,PKS MAINT WKR, 1.00 ,58512.22,2348,PKS MAINT WKR,1,58512.22,2348,PKS MAINT WKR,1,58512.22,2348,PKS MAINT WKR,1,58512.22,2348,PKS MAINT WKR, 1.00 ,60413.86,2348,PKS MAINT WKR-16, 1.00 ,60413.86,2348,PKS MAINT WKR-16, 1.00 ,60413.86
